Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days,Code,Expansion_code,Number_code
212,Pidgeot V,Lost-Origin,2.0,338,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pidgeot-V-V2-LOR188,"9TH SEPTEMBER, 2022",14.0,"3,05 €","3,51 €","3,27 €",LOR 188,LOR,188
215,Enamorus V,Lost-Origin,0.5,382,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Enamorus-V-V2-LOR178,"9TH SEPTEMBER, 2022",0.0,"2,11 €","1,93 €","1,96 €",LOR 178,LOR,178
216,Cook,Lost-Origin,0.99,408,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Cook-LORTG25,"9TH SEPTEMBER, 2022",0.0,"2,19 €","2,00 €","2,23 €",LOR TG25,LOR,TG25
220,Hisuian Zoroark VSTAR,Lost-Origin,3.99,351,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zoroark-VSTAR-V3-LOR213,"9TH SEPTEMBER, 2022",,"6,41 €","7,04 €","6,15 €",LOR 213,LOR,213
229,Magnezone VSTAR,Lost-Origin,3.85,242,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Magnezone-VSTAR-V2-LOR198,"9TH SEPTEMBER, 2022",,"5,84 €","5,45 €","5,53 €",LOR 198,LOR,198
233,Thorton,Lost-Origin,2.22,208,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Thorton-V3-LOR210,"9TH SEPTEMBER, 2022",,"4,25 €","4,50 €","4,06 €",LOR 210,LOR,210
234,Aerodactyl V,Lost-Origin,50.0,172,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Aerodactyl-V-V3-LOR179,"9TH SEPTEMBER, 2022",1.0,"132,17 €","115,83 €","129,88 €",LOR 180,LOR,180
235,Giratina V,Lost-Origin,200.0,137,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V3-LOR186,"9TH SEPTEMBER, 2022",0.0,"377,34 €","359,90 €","394,18 €",LOR 186,LOR,186
236,Miss Fortune Sisters,Lost-Origin,2.0,233,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Miss-Fortune-Sisters-V3-LOR209,"9TH SEPTEMBER, 2022",,"4,96 €","5,95 €","5,55 €",LOR 209,LOR,209
237,Fantina,Lost-Origin,3.0,273,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Fantina-V3-LOR206,"9TH SEPTEMBER, 2022",,"4,53 €","3,79 €","3,88 €",LOR 206,LOR,206
