Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Shellos (LOR 039),Lost-Origin,"0,02 €",13987,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Shellos-LOR039,"9TH SEPTEMBER, 2022",,,,
Binacle (LOR 106),Lost-Origin,"0,02 €",12970,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Binacle-LOR106,"9TH SEPTEMBER, 2022",,,,
Gastly (LOR 064),Lost-Origin,"0,02 €",8347,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gastly-LOR064,"9TH SEPTEMBER, 2022",,,,
Jynx (LOR 068),Lost-Origin,"0,02 €",13967,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Jynx-LOR068,"9TH SEPTEMBER, 2022",,,,
Cramorant (LOR 050),Lost-Origin,"0,02 €",3074,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Cramorant-LOR050,"9TH SEPTEMBER, 2022",,,,
Goomy (LOR 132),Lost-Origin,"0,02 €",13894,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Goomy-LOR132,"9TH SEPTEMBER, 2022",,,,
Gengar (LOR 066),Lost-Origin,"0,05 €",749,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gengar-V1-LOR066,"9TH SEPTEMBER, 2022",,,,
Slugma (LOR 021),Lost-Origin,"0,02 €",13062,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Slugma-LOR021,"9TH SEPTEMBER, 2022",,,,
Mawile (LOR 071),Lost-Origin,"0,02 €",9051,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mawile-LOR071,"9TH SEPTEMBER, 2022",,,,
Litwick (LOR 024),Lost-Origin,"0,02 €",13860,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Litwick-LOR024,"9TH SEPTEMBER, 2022",,,,
Phantump (LOR 016),Lost-Origin,"0,02 €",13347,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Phantump-LOR016,"9TH SEPTEMBER, 2022",,,,
Lake Acuity (LOR 160),Lost-Origin,"0,02 €",9893,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lake-Acuity-LOR160,"9TH SEPTEMBER, 2022",,,,
Oddish (LOR 001),Lost-Origin,"0,02 €",13858,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Oddish-LOR001,"9TH SEPTEMBER, 2022",,,,
Gligar (LOR 095),Lost-Origin,"0,02 €",14322,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gligar-LOR095,"9TH SEPTEMBER, 2022",,,,
Hisuian Basculin (LOR 044),Lost-Origin,"0,02 €",9170,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Basculin-LOR044,"9TH SEPTEMBER, 2022",,,,
Pikachu (LOR 052),Lost-Origin,"0,02 €",7954,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V1-LOR052,"9TH SEPTEMBER, 2022",,,,
